[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
9.6 1 0.943453 0.498596 0.0737508 0.0088174 0.0104315 1.99935e-05 0.138741 0.144442 0.132794 0.39342 
9.7 0 -0.942856 -0.498559 0.0744251 0.00884921 0.0104788 -1.82517e-05 0.139025 0.144768 0.133034 0.394392 
9.7 1 0.942862 0.498556 0.0744471 0.00884902 0.0104788 1.82214e-05 0.139025 0.144769 0.133032 0.39442 
9.8 0 -0.942508 -0.498697 0.0751427 0.00889252 0.0105238 -3.82312e-05 0.139343 0.145084 0.133354 0.393914 
9.8 1 0.942515 0.498694 0.0751644 0.00889232 0.0105239 3.81711e-05 0.139342 0.145085 0.133352 0.393943 
9.9 0 -0.942417 -0.49859 0.0762405 0.00892078 0.0105997 -1.65092e-05 0.139716 0.145601 0.133571 0.398017 
9.9 1 0.942425 0.498587 0.076262 0.00892058 0.0105998 1.63993e-05 0.139715 0.145602 0.13357 0.398052 
10 0 -0.941603 -0.498625 0.0770043 0.00895138 0.0106363 -3.02128e-05 0.139956 0.145855 0.133797 0.398125 
10 1 0.941611 0.498622 0.0770256 0.00895119 0.0106364 3.00568e-05 0.139956 0.145856 0.133796 0.398159 
10.1 0 -0.941032 -0.498635 0.0777369 0.00897187 0.0106965 -3.32994e-05 0.140244 0.146268 0.133949 0.40168 
10.1 1 0.94104 0.498632 0.077758 0.00897171 0.0106967 3.31081e-05 0.140244 0.146269 0.133948 0.401708 
10.2 0 -0.940705 -0.498725 0.0785043 0.00900151 0.0107576 -5.08616e-05 0.140567 0.146691 0.134164 0.404346 
10.2 1 0.940714 0.498723 0.0785254 0.00900138 0.0107577 5.06381e-05 0.140567 0.146691 0.134163 0.404367 
10.3 0 -0.940378 -0.49861 0.0792463 0.0090376 0.0108111 -3.46225e-05 0.140885 0.147049 0.134439 0.405161 
10.3 1 0.940387 0.498609 0.0792674 0.00903753 0.0108111 3.4362e-05 0.140885 0.14705 0.134439 0.405173 
10.4 0 -0.939564 -0.498586 0.0800167 0.00905887 0.0108574 -1.2214e-05 0.141125 0.14736 0.134602 0.407018 
10.4 1 0.939575 0.498584 0.0800383 0.00905885 0.0108575 1.19282e-05 0.141125 0.147361 0.134601 0.407029 
10.5 0 -0.939488 -0.498551 0.0807312 0.00910736 0.0109079 -1.77233e-05 0.141475 0.147703 0.134961 0.406321 
