[1]t	 [2]tag	 [3]Atot	 [4]Gamma	 [5]mu_x	 [6]mu_y	 [7]mu_z	 [8]M20	 [9]M02	 [10]M11	 [11]a	 [12]b	 [13]c	 [14]e	 [15]maxvor 
14.7 2 62.4283447265625 0.000323269978746362 73.8460814986682 -74.1176131184582 -0.0323422559024873 -5448.60306250134 -5491.03532315114 5469.26611181194 -nan -nan -nan -nan 1e+30 
14.75 0 0.787353515625 1.00061791984775 -0.126943309851263 -0.487472177829452 4.71585174062468e-07 0.00583217947529378 0.0063040901008729 0.000112890185054339 0.110164738352009 0.112514045738335 0.107764227199591 0.287486595162023 18.0291768216366 
14.75 1 0.7847900390625 1.00025583454692 0.111719758721687 0.483519639448486 -3.33358541828191e-07 0.00556686985178687 0.00584565291214908 4.64929405132457e-05 0.106829409639555 0.108196138192149 0.105444967675927 0.224072935141772 17.9640010498952 
14.75 2 62.4278564453125 0.000322800116815306 73.7064138912186 -74.5237959100767 -0.0221861528219601 -5427.88794570592 -5551.05942026619 5488.13644279288 -nan -nan -nan -nan 1e+30 
14.8 0 0.784912109375 1.000607931971 -0.11963028852445 -0.489245064298234 3.98731401214645e-07 0.00582968415680577 0.00631430729007952 0.000107072929919579 0.110199779704341 0.112578060694878 0.107769026830305 0.28915373857612 18.0383520645303 
14.8 1 0.785888671875 1.00025586006237 0.104349333324387 0.485244252877965 -2.65888502983601e-07 0.00556230174934838 0.0058438916750783 4.02779541233833e-05 0.106799781949341 0.10816228227857 0.105419673406553 0.223763051099734 17.9627379542818 
14.8 2 62.42919921875 0.000346032768778151 70.1129788499688 -70.3400401571836 -0.0287920990031042 -4910.30019785706 -4945.65532275087 4927.83739519828 -nan -nan -nan -nan 1e+30 
14.85 0 0.78173828125 1.00058372184555 -0.112292061275102 -0.490916653618231 4.70612143785884e-07 0.00582772998185637 0.00632077964571274 0.000100557314736109 0.110220277751279 0.112609942391076 0.107777642068365 0.289796932968659 18.0154096492246 
14.85 1 0.7855224609375 1.00026081084849 0.0969603937349243 0.486862282571672 -2.56191796432044e-07 0.00556012291324111 0.00584111293293338 3.2038186178447e-05 0.106776569743434 0.108117709923679 0.105418368860498 0.222058639255932 17.9320837382473 
14.85 2 62.4327392578125 0.00029125368218208 81.8958388228252 -84.2010974949649 -0.100400688410613 -6703.10655277965 -7087.23037986459 6890.15633227992 -nan -nan -nan -nan 1e+30 
