[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
1.2 1 0.811095 -4.98083e-06 7.07654 0.963444 0.00477256 0.00490446 -2.86835e-05 0.0983718 0.0991002 0.097638 0.171149 
1.2 2 0.0268087 0.00451611 7.00136 1.98926 0.000912384 4.93038e-32 1.76456e-31 0.0302057 0.0427173 0 1 
1.22 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.22 1 0.809637 5.50805e-06 7.07548 0.965006 0.00477797 0.00491007 -2.81821e-05 0.0984278 0.0991547 0.0976955 0.170927 
1.22 2 0.0157627 0.00728917 7.00665 1.98926 0.000371244 0 0 0.0192677 0.0272487 0 1 
1.24 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.24 1 0.803238 0.000128046 7.07325 0.968722 0.00467953 0.0049572 9.58238e-05 0.0981668 0.0998705 0.0964331 0.260102 
1.24 2 0.0101439 0.0205078 7.01318 1.98926 0.000420325 4.93038e-32 1.30233e-31 0.0205018 0.028994 0 1 
1.26 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.26 1 0.79688 -4.67874e-06 7.0713 0.974154 0.00454604 0.00503014 0.00013573 0.097858 0.100654 0.0949798 0.331008 
1.26 2 0.004896 0.0205078 6.99316 1.98926 0 0 0 0 0 0 -nan 
1.28 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.28 1 0.817289 -0.000314298 7.06819 0.978102 0.00476775 0.00523539 5.79158e-05 0.100016 0.102396 0.0975775 0.303149 
1.28 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.3 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.3 1 0.824284 -0.000127118 7.06542 0.981121 0.00500525 0.00515128 -7.08243e-05 0.10078 0.101784 0.0997651 0.198177 
1.3 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.32 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.32 1 0.832774 -0.000118934 7.06419 0.984364 0.00500188 0.0053312 -8.43982e-05 0.101652 0.103456 0.0998149 0.262962 
1.32 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.34 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.34 1 0.831519 0.000112177 7.06239 0.987654 0.00502065 0.00532745 -9.17404e-05 0.101726 0.103468 0.0999531 0.258425 
1.34 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.36 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.36 1 0.834533 1.24371e-05 7.06051 0.98962 0.00511017 0.00532598 -0.000133092 0.102157 0.103821 0.100466 0.252159 
1.36 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.38 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.38 1 0.828389 0.000105081 7.0576 0.992745 0.00513413 0.00522505 -7.59451e-05 0.10178 0.102646 0.100907 0.183311 
1.38 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.4 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.4 1 0.813514 0.000235909 7.05575 0.996473 0.00511516 0.0050157 -2.63617e-05 0.100652 0.10121 0.100091 0.148253 
1.4 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.42 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.42 1 0.802779 0.000237287 7.0542 1.00093 0.00511509 0.00486453 -0.000114108 0.099898 0.10158 0.0981871 0.256301 
1.42 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.44 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.44 1 0.800766 2.08044e-06 7.05111 1.00513 0.00521119 0.00475671 -0.000145989 0.0998394 0.102509 0.0970964 0.320645 
1.44 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.46 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.46 1 0.803981 -0.000126684 7.04971 1.00865 0.00523275 0.00483213 -0.000290054 0.100324 0.103778 0.0967464 0.36183 
1.46 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.48 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.48 1 0.812269 -0.000125951 7.04837 1.01282 0.00513147 0.00512225 -0.000180133 0.101261 0.103025 0.0994653 0.260589 
1.48 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.5 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.5 1 0.816445 -0.000230923 7.04632 1.01641 0.00501084 0.00534871 -0.000162621 0.101782 0.10406 0.0994514 0.294311 
1.5 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.52 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.52 1 0.824283 -1.16024e-05 7.04549 1.01948 0.00503935 0.00548534 -0.000141172 0.10259 0.105131 0.0999842 0.309056 
1.52 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.54 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.54 1 0.81851 0.000114203 7.04398 1.02199 0.0050398 0.00541435 -8.32142e-05 0.102246 0.104231 0.100221 0.274687 
1.54 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.56 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.56 1 0.813333 0.000209451 7.04076 1.02417 0.0049142 0.00549601 -0.000152463 0.10203 0.1052 0.098759 0.344539 
1.56 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.58 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.58 1 0.808192 -0.000117183 7.03643 1.02928 0.00474108 0.00561171 -9.10616e-05 0.101749 0.10603 0.0972796 0.397791 
1.58 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.6 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.6 1 0.811746 -1.46889e-05 7.03475 1.03305 0.00471839 0.00571958 -2.52199e-05 0.102166 0.10696 0.0971365 0.418627 
