[1]t	 [2]ekin	 [3]enstrophy	 [4]helicity 
17.260000 977.606991 3462.53834 34.5792226 
17.280000 977.583102 3461.0454 34.5783366 
17.300000 977.559276 3459.55495 34.5774473 
17.320000 977.535476 3458.06698 34.5765548 
17.340000 977.511691 3456.58153 34.5756656 
17.360000 977.487894 3455.09857 34.5747567 
17.380000 977.464155 3453.61812 34.5738485 
17.400000 977.440435 3452.14014 34.5729935 
17.420000 977.416728 3450.66469 34.5720738 
17.440000 977.393018 3449.1917 34.5711822 
17.460000 977.369312 3447.72119 34.5702827 
17.480000 977.345666 3446.2532 34.5693824 
17.500000 977.321979 3444.7877 34.568521 
17.520000 977.29836 3443.32469 34.5675935 
17.540000 977.274764 3441.86414 34.5667186 
17.560000 977.251196 3440.40605 34.5658171 
17.580000 977.227612 3438.95046 34.5649094 
17.600000 977.204137 3437.49736 34.5640119 
17.620000 977.180552 3436.04671 34.5631112 
17.640000 977.157065 3434.59853 34.5622605 
17.660000 977.133593 3433.15283 34.5613383 
17.680000 977.110077 3431.70958 34.5604773 
17.700000 977.086683 3430.2688 34.5595852 
17.720000 977.063236 3428.83049 34.5586871 
17.740000 977.039856 3427.39465 34.5577968 
17.760000 977.016491 3425.96125 34.5568967 
17.780000 976.993101 3424.5303 34.5560035 
17.800000 976.96977 3423.10178 34.5551099 
17.820000 976.946415 3421.6757 34.5541856 
17.840000 976.923102 3420.25206 34.5532859 
17.860000 976.899846 3418.83086 34.5523919 
17.880000 976.876505 3417.4121 34.5514888 
17.900000 976.853277 3415.99575 34.5505603 
17.920000 976.830082 3414.58183 34.54967 
17.940000 976.806821 3413.17032 34.5488173 
17.960000 976.783619 3411.76123 34.5479229 
17.980000 976.76043 3410.35455 34.5470049 
18.000000 976.737319 3408.95027 34.5461171 
18.020000 976.714162 3407.54839 34.5452033 
18.040000 976.691047 3406.14893 34.5442871 
18.060000 976.667914 3404.75188 34.5433865 
18.080000 976.644836 3403.35726 34.5424906 
18.100000 976.621805 3401.96502 34.5416336 
18.120000 976.598745 3400.57516 34.5406728 
18.140000 976.575676 3399.1877 34.5397633 
18.160000 976.55268 3397.80261 34.538888 
18.180000 976.529759 3396.41992 34.5380033 
18.200000 976.506794 3395.03958 34.5371052 
18.220000 976.48383 3393.66162 34.5362093 
18.240000 976.460859 3392.28602 34.5352718 
18.260000 976.437968 3390.91279 34.5343559 
18.280000 976.414994 3389.54192 34.5334468 
18.300000 976.392069 3388.1734 34.5325183 
