[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
2.85 1 111.467 0.799448 -2.23485 0.144533 0.159046 -0.00986339 0.55098 0.572773 0.528289 0.386391 
2.85 2 138.739 -1.2773 1.54482 0.160796 0.170828 -0.00776641 0.575868 0.591704 0.559583 0.325001 
2.9 0 -8.82208 -5.68629 -1.88878 0.0564905 0.070589 -0.0135375 0.356482 0.396995 0.310731 0.622391 
2.9 1 139.299 -1.40875 1.44425 0.164716 0.172712 -0.00894087 0.580886 0.597508 0.563773 0.331257 
2.9 2 111.86 0.969592 -2.14618 0.149019 0.159567 -0.0114168 0.555505 0.5777 0.532385 0.388238 
2.95 0 -8.78587 -5.58943 -2.07242 0.0563825 0.0709823 -0.0138263 0.356882 0.39829 0.309991 0.627886 
2.95 1 138.895 -1.53373 1.33249 0.166748 0.171528 -0.00989279 0.581615 0.598858 0.563845 0.336919 
2.95 2 111.819 1.13172 -2.04096 0.151798 0.159292 -0.0121097 0.557754 0.580036 0.534544 0.388211 
3 0 -8.67185 -5.49253 -2.26127 0.0576705 0.0685386 -0.0147153 0.355259 0.396966 0.307954 0.631017 
3 1 138.858 -1.64807 1.21069 0.169203 0.17176 -0.010183 0.583921 0.60124 0.566072 0.336991 
3 2 111.694 1.28515 -1.92298 0.155087 0.158001 -0.0130459 0.559543 0.582531 0.535569 0.393364 
3.05 0 -8.74239 -5.36418 -2.44617 0.0585526 0.0706253 -0.0160026 0.359413 0.404208 0.308175 0.647088 
3.05 1 138.794 -1.75363 1.07863 0.173266 0.170291 -0.0106266 0.586138 0.604167 0.567536 0.342907 
3.05 2 111.533 1.42927 -1.79164 0.157925 0.156882 -0.0128054 0.561076 0.583471 0.537749 0.38805 
