[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
1.4 2 -1.35445 0.475719 -0.864753 0.0354574 0.139986 -0.0613463 0.41886 0.580195 0.119421 0.978588 
1.4 3 148.725 1.46853 -0.547 0.117869 0.115262 -0.00403446 0.482837 0.491539 0.473975 0.264938 
1.4 4 -1.76506 2.48449 -0.384697 0.0150217 0.171906 -0.0297646 0.432351 0.595589 0.138307 0.972663 
1.4 5 -1.13262 1.88121 3.44564 0.0160471 0.00541707 0.00107541 0.146507 0.179749 0.103047 0.819356 
1.45 0 -12.6009 -4.05073 2.94617 0.0615655 0.0506231 0.0238547 0.334946 0.401419 0.251476 0.779446 
1.45 1 119.89 -2.36609 0.807707 0.111892 0.101151 -0.00231149 0.461566 0.474064 0.44872 0.322591 
1.45 2 -1.71873 1.34928 -1.37477 0.208208 0.0196638 -0.0413634 0.477359 0.658609 0.148247 0.974338 
1.45 3 148.872 1.52402 -0.392403 0.123642 0.112694 -0.00397861 0.486145 0.499871 0.472019 0.329137 
1.45 4 -1.35962 1.9911 0.460451 0.20172 0.0568762 -0.0918933 0.508523 0.701854 0.156823 0.974717 
1.45 5 -1.02678 1.56664 3.55902 0.0187369 0.00362733 0.000861258 0.149547 0.193834 0.0845978 0.899731 
1.5 0 119.837 -2.45474 0.573619 0.113356 0.101482 -0.000753106 0.463507 0.476243 0.450411 0.324875 
1.5 1 -12.5196 -4.31763 2.6799 0.0580224 0.0521264 0.0223147 0.331887 0.393911 0.255209 0.761738 
1.5 2 -0.147543 1.2892 -1.28906 0.0040575 4.93038e-32 -4.17708e-32 0.0636985 0.0900833 0 1 
1.5 3 148.723 1.56376 -0.233264 0.124084 0.113937 0.00034077 0.487874 0.498187 0.477339 0.286265 
1.5 4 -1.78047 2.23163 -1.01607 0.138068 0.088081 0.100095 0.475552 0.657637 0.140757 0.976826 
1.5 5 -1.36264 1.0144 0.620967 0.170966 0.0457014 0.0770122 0.465475 0.644359 0.13467 0.977916 
1.5 6 -1.11224 1.25314 3.64135 0.0237739 0.00351756 0.00174408 0.165201 0.218737 0.0820792 0.926927 
1.55 0 120.009 -2.51882 0.335955 0.114251 0.103189 0.000443879 0.466304 0.478056 0.454248 0.311642 
1.55 1 -12.6028 -4.56297 2.39515 0.0544271 0.0547444 0.0195892 0.330411 0.385164 0.26456 0.726775 
1.55 2 -1.26694 0.497592 0.0726558 0.0126113 0.133315 0.022377 0.382003 0.52408 0.131122 0.968196 
1.55 3 148.779 1.58584 -0.0707194 0.122147 0.118217 0.000455816 0.49027 0.494367 0.486137 0.181711 
1.55 4 -1.89896 2.64433 -0.164591 0.0133035 0.196308 0.0163903 0.457833 0.62891 0.153929 0.969585 
1.55 5 -1.01062 0.90918 3.70675 0.0199432 0.00362174 0.00263932 0.153509 0.201789 0.0800693 0.917906 
1.6 0 120.011 -2.55816 0.096432 0.114985 0.104371 0.00135504 0.468355 0.479906 0.456511 0.308422 
1.6 1 -12.6107 -4.78528 2.11395 0.051295 0.0586208 0.0191909 0.331536 0.385993 0.26616 0.724242 
1.6 2 -1.6701 0.77995 -0.572843 0.0897801 0.099642 -0.085842 0.435227 0.601156 0.132118 0.975551 
1.6 3 149.084 1.5929 0.0935733 0.126078 0.117775 -0.00245418 0.493815 0.503486 0.48395 0.275858 
1.6 4 -2.14131 2.37209 0.768169 0.125535 0.128089 -0.112351 0.503611 0.691622 0.170022 0.969313 
1.6 5 -0.952048 0.573846 3.72183 0.020784 0.00339603 0.00321511 0.155499 0.206686 0.0751077 0.931637 
1.65 0 120.047 -2.57326 -0.14289 0.117002 0.104513 0.00184199 0.470654 0.48429 0.456611 0.333227 
1.65 1 -12.5385 -4.98007 1.82917 0.0491247 0.0594548 0.01734 0.329514 0.38048 0.269061 0.707053 
1.65 2 -1.77905 1.61644 -0.754263 0.226737 0.011351 0.00557047 0.487943 0.673619 0.149714 0.974989 
1.65 3 148.913 1.581 0.257499 0.129939 0.11576 0.00109471 0.495681 0.509948 0.480991 0.332178 
1.65 4 -1.84012 1.54302 1.24788 0.274958 0.0135299 0.0063023 0.53711 0.741768 0.163573 0.975383 
1.65 5 -0.901399 0.244404 3.7219 0.0183758 0.00359154 0.00358805 0.148214 0.195962 0.0743876 0.92515 
1.7 0 119.953 -2.56549 -0.37824 0.117535 0.10549 0.00338005 0.472255 0.486659 0.457398 0.341525 
1.7 1 -12.5177 -5.15111 1.55173 0.0466448 0.0614086 0.0155879 0.328715 0.377556 0.271217 0.695683 
1.7 2 -0.945498 -0.07431 3.70521 0.0214069 0.00380887 0.00469959 0.158795 0.212524 0.07256 0.939911 
1.7 3 148.849 1.5518 0.418981 0.127993 0.119584 0.00473531 0.497572 0.51014 0.484678 0.31198 
1.7 4 -2.18297 2.44772 -0.0965296 0.0926945 0.165939 0.107725 0.50856 0.697276 0.176277 0.967517 
1.7 5 -2.03578 0.741902 1.04266 0.132985 0.147241 0.123935 0.529364 0.726985 0.178737 0.969305 
1.75 0 120.128 -2.53565 -0.607319 0.116917 0.108521 0.00463816 0.474804 0.487801 0.46144 0.324284 
1.75 1 -12.4423 -5.30558 1.26638 0.0453109 0.0616261 0.0138484 0.327012 0.372937 0.273481 0.679885 
1.75 2 -0.936151 -0.43051 3.63222 0.0200636 0.0035332 0.00359681 0.153613 0.204021 0.0746257 0.930704 
1.75 3 -1.95146 0.4305 0.299655 0.0200248 0.164076 -0.0348387 0.429069 0.586616 0.155187 0.964373 
1.75 4 148.886 1.50634 0.57609 0.125742 0.123808 0.00196591 0.49955 0.503917 0.495145 0.185768 
1.75 5 -2.10687 2.55079 0.861162 0.0182106 0.184148 -0.0356642 0.449842 0.61885 0.147446 0.971202 
1.8 0 120.225 -2.48444 -0.830186 0.11718 0.110366 0.00463663 0.477018 0.488931 0.464799 0.31029 
1.8 1 -12.4057 -5.43665 0.995678 0.0433211 0.0641265 0.0131702 0.327792 0.375518 0.271812 0.689977 
1.8 2 -0.867974 -0.762914 3.52983 0.0187219 0.00556271 0.00708606 0.155835 0.208864 0.0703221 0.941616 
1.8 3 -2.10961 0.775808 -0.125606 0.132493 0.0675878 -0.0845352 0.447304 0.617399 0.137769 0.974786 
1.8 4 149.013 1.44586 0.727181 0.130761 0.121486 0.000315729 0.502242 0.511413 0.4929 0.266625 
1.8 5 -0.0982796 1.71874 -0.351562 0.00152588 3.08149e-33 -9.06335e-33 0.0390625 0.0552427 0 1 
1.8 6 -2.30838 1.99648 1.63784 0.170406 0.0642814 -0.0894813 0.484445 0.665395 0.163171 0.969466 
1.85 0 120.327 -2.4136 -1.04446 0.118265 0.111508 0.00528238 0.479347 0.492254 0.466082 0.321727 
1.85 1 -12.5901 -5.54407 0.72003 0.0450984 0.0630586 0.0104531 0.328872 0.3684 0.283893 0.637305 
1.85 2 -0.758795 -1.09455 3.39739 0.0150526 0.00344387 0.00347795 0.136002 0.178968 0.0704505 0.919261 
1.85 3 -2.3544 1.58651 -0.106051 0.26848 0.0290286 0.0607132 0.545443 0.752321 0.170378 0.974018 
1.85 4 148.939 1.37103 0.872175 0.132873 0.121501 0.00523142 0.504355 0.519449 0.488795 0.338438 
1.85 5 -2.06133 1.10715 1.88793 0.198424 0.0250376 0.0553576 0.472718 0.65512 0.133198 0.979113 
1.9 0 -12.4709 -5.63735 0.456064 0.0436864 0.0630822 0.00891053 0.326755 0.36484 0.2836 0.629099 
1.9 1 120.182 -2.32659 -1.24813 0.118359 0.112671 0.00625984 0.480656 0.494754 0.466132 0.335197 
1.9 2 -0.6431 -1.38976 3.23391 0.0140128 0.00344715 0.00434209 0.132136 0.176455 0.0615094 0.937278 
1.9 3 -2.45663 2.22156 0.583604 0.0809456 0.209166 0.109006 0.53862 0.736908 0.192847 0.96515 
1.9 4 -2.10053 0.30267 1.4011 0.0601006 0.187481 0.0943686 0.497576 0.689407 0.141001 0.978861 
1.9 5 148.72 1.28394 1.0085 0.128589 0.127053 0.0075654 0.505611 0.520433 0.49034 0.335116 
1.95 0 -12.4949 -5.71238 0.192674 0.0427768 0.0654127 0.00897816 0.328922 0.370247 0.281596 0.649263 
1.95 1 119.923 -2.22259 -1.44096 0.116794 0.114907 0.0071174 0.481353 0.496045 0.466199 0.341635 
