[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
8.6 0 0.954528 -0.430668 0.253307 0.00609704 0.00575453 -0.000301586 0.108865 0.112005 0.105631 0.332538 
8.6 1 0.954455 0.430523 -0.254819 0.00609653 0.00576114 -0.000301329 0.108893 0.112015 0.105679 0.331565 
8.7 0 0.95444 -0.438242 0.240118 0.00612664 0.00575868 -0.000295288 0.10902 0.112166 0.10578 0.332587 
8.7 1 0.954791 0.438059 -0.241603 0.00613542 0.00576988 -0.000292948 0.109111 0.112231 0.1059 0.331136 
8.8 0 0.954713 -0.445345 0.226697 0.00616428 0.00576631 -0.000284498 0.109227 0.112361 0.106001 0.33166 
8.8 1 0.954691 0.445186 -0.228204 0.00617188 0.00576767 -0.000285132 0.109268 0.112421 0.106022 0.332585 
8.9 0 0.954122 -0.452065 0.213077 0.00619956 0.00574944 -0.000271743 0.109311 0.112493 0.106035 0.333959 
8.9 1 0.95374 0.451931 -0.214557 0.00619802 0.00574874 -0.00027798 0.109301 0.112524 0.105981 0.336019 
9 0 0.953836 -0.458335 0.199222 0.0062318 0.00574514 -0.000261666 0.109439 0.112657 0.106124 0.335585 
9 1 0.954247 0.458224 -0.200794 0.00623677 0.00576255 -0.000259349 0.109541 0.112704 0.106285 0.332656 
9.1 0 0.953988 -0.464154 0.185269 0.00626447 0.00575423 -0.000253408 0.10963 0.112862 0.106299 0.336034 
9.1 1 0.954151 0.464054 -0.186766 0.00626822 0.00576509 -0.000248072 0.109696 0.112871 0.106427 0.333059 
9.2 0 0.953958 -0.469594 0.171093 0.006288 0.00576456 -0.00022975 0.109784 0.112912 0.106565 0.330553 
9.2 1 0.953578 0.469479 -0.172658 0.00629284 0.00575879 -0.000236163 0.10978 0.11298 0.106483 0.334228 
9.3 0 0.953797 -0.474624 0.156768 0.00633157 0.00575413 -0.000217286 0.109935 0.113174 0.106597 0.335928 
9.3 1 0.954081 0.47456 -0.158323 0.0063452 0.00576059 -0.000215514 0.110026 0.113279 0.106675 0.336459 
9.4 0 0.953336 -0.479151 0.142341 0.0063549 0.00575205 -0.000195859 0.110032 0.113251 0.106715 0.334823 
9.4 1 0.953436 0.479136 -0.143868 0.00636602 0.00575609 -0.000205408 0.1101 0.113391 0.106709 0.338215 
9.5 0 0.953309 -0.483275 0.127725 0.00639097 0.00575263 -0.00018338 0.110198 0.113489 0.106805 0.338109 
9.5 1 0.953217 0.483279 -0.129235 0.00639467 0.00575667 -0.000176961 0.110233 0.113494 0.106873 0.336575 
9.6 0 0.953206 -0.486995 0.112977 0.00641829 0.00575852 -0.000165562 0.110349 0.113644 0.106951 0.338107 
9.6 1 0.953356 0.487005 -0.114596 0.00642597 0.0057672 -0.000167501 0.110423 0.11372 0.107024 0.338076 
9.7 0 0.953001 -0.490202 0.0981416 0.00644511 0.00576152 -0.000144479 0.110484 0.113793 0.107072 0.338569 
9.7 1 0.953325 0.490196 -0.0997504 0.00645009 0.00577822 -0.000144032 0.110582 0.113839 0.107225 0.335884 
9.8 0 0.95307 -0.492949 0.0832931 0.00646966 0.00577564 -0.000126261 0.110658 0.113947 0.10727 0.337285 
9.8 1 0.9534 0.493006 -0.0848233 0.00648403 0.00578463 -0.00013036 0.110764 0.114084 0.107342 0.338675 
9.9 0 0.95292 -0.495354 0.0682815 0.00648806 0.00578799 -0.000106932 0.110797 0.114053 0.107443 0.335481 
9.9 1 0.953067 0.4954 -0.0698688 0.00649842 0.00579493 -0.000108264 0.110875 0.114146 0.107505 0.336132 
10 0 0.952772 -0.49715 0.0532323 0.00651383 0.00579415 -8.30437e-05 0.110941 0.114222 0.107561 0.336488 
10 1 0.952796 0.497258 -0.0547929 0.0065193 0.00580164 -8.33694e-05 0.111 0.11427 0.10763 0.33593 
10.1 0 0.95279 -0.498508 0.0381208 0.00654006 0.00580558 -6.25303e-05 0.111111 0.114415 0.107706 0.337386 
10.1 1 0.952753 0.498593 -0.0397068 0.00654179 0.00581455 -6.76723e-05 0.111159 0.114438 0.10778 0.33611 
10.2 0 0.952745 -0.499469 0.022986 0.00656544 0.00581589 -4.46559e-05 0.111271 0.114613 0.107826 0.339009 
10.2 1 0.952472 0.499646 -0.0246163 0.00657113 0.0058139 -4.00339e-05 0.111288 0.114658 0.107813 0.340353 
10.3 0 0.952462 -0.499987 0.00783665 0.0065828 0.00582585 -2.0391e-05 0.111394 0.114746 0.107938 0.339332 
10.3 1 0.952744 0.500154 -0.00944855 0.00660077 0.00583026 -2.02352e-05 0.111495 0.114903 0.107979 0.341879 
10.4 0 0.952425 -0.50005 -0.00730541 0.0066029 0.00584116 4.81465e-06 0.111553 0.114917 0.108085 0.339666 
10.4 1 0.952776 0.500198 0.00569061 0.00661897 0.00584917 1.80335e-06 0.111661 0.115056 0.108159 0.341034 
10.5 0 0.952454 -0.499579 -0.0224591 0.00662641 0.00585564 3.3375e-05 0.111723 0.115133 0.108205 0.341655 
10.5 1 0.952562 0.499749 0.0208699 0.006637 0.00586084 2.24818e-05 0.111794 0.115218 0.108261 0.342241 
10.6 0 0.951871 -0.498689 -0.0376357 0.00662864 0.00586962 5.08105e-05 0.111796 0.11517 0.108317 0.339806 
10.6 1 0.951858 0.498884 0.0360404 0.00664291 0.00586783 4.69871e-05 0.111851 0.115289 0.108305 0.342757 
10.7 0 0.95147 -0.497318 -0.0527532 0.00663663 0.00588446 7.49281e-05 0.111898 0.115274 0.108417 0.339757 
10.7 1 0.951576 0.497539 0.0511421 0.00664664 0.00589028 7.58901e-05 0.111968 0.115362 0.108469 0.340488 
