t ekin epot bpot nu_top nu_bot nu_vol nu_eps nu_tmp nu_mix 
7.850000 0.000136731637 0.0589970977 -0.0591897872 1.00681861 1.00849093 1.20606673 0.0428084078 1.03283047 1.0328306 
7.900000 0.000145306259 0.0589869618 -0.0591323282 1.00709593 1.00902456 1.21893042 0.0453578668 1.03478884 1.03474051 
7.950000 0.000154423052 0.0589761896 -0.0591959201 1.00738901 1.00958839 1.23261182 0.0480611936 1.03686599 1.0368784 
8.000000 0.000164116399 0.0589647405 -0.059603836 1.00770023 1.01018672 1.2472421 0.0509289233 1.03906918 1.03934714 
8.050000 0.000174422903 0.058952568 -0.0592706494 1.00802342 1.01084716 1.26262358 0.0539687566 1.04140635 1.04149708 
8.100000 0.000185381237 0.0589396344 -0.0593479345 1.00837367 1.01151912 1.2791262 0.0571942673 1.04388527 1.04402737 
8.150000 0.000197032836 0.0589258845 -0.0591887106 1.00873927 1.01224901 1.29648816 0.0606137866 1.04651502 1.04651797 
8.200000 0.000209421333 0.0589112752 -0.0591907983 1.00913375 1.01299302 1.31513853 0.064241852 1.04930438 1.04925947 
8.250000 0.000222593594 0.0588957432 -0.0590101761 1.00954377 1.01381442 1.33475167 0.0680884195 1.05226358 1.05214314 
8.300000 0.000236598809 0.0588792402 -0.0594936871 1.00998523 1.01465317 1.35580847 0.072170714 1.05540249 1.05567926 
8.350000 0.000251489874 0.0588616953 -0.0594739403 1.01044628 1.01557174 1.37807822 0.0764994261 1.05873262 1.05908964 
8.400000 0.000267322483 0.0588430483 -0.0587114725 1.01093555 1.01654139 1.40173792 0.0810913405 1.06226533 1.06182871 
8.450000 0.000284155969 0.0588232302 -0.0593146807 1.01145529 1.01756245 1.42687876 0.0859622103 1.06601299 1.06621003 
8.500000 0.000302053328 0.0588021676 -0.059141592 1.01200579 1.01864371 1.45359084 0.0911293932 1.06998867 1.06993687 
8.550000 0.000321081421 0.0587797826 -0.0589747755 1.01258963 1.01978691 1.48197103 0.096610696 1.07420624 1.07405147 
8.600000 0.000341311232 0.0587559926 -0.0595670176 1.01320788 1.02099735 1.51212084 0.102425434 1.07868039 1.07914231 
8.650000 0.000362818093 0.0587307097 -0.0592620403 1.01386245 1.02227915 1.54415211 0.108593906 1.08342669 1.08360986 
8.700000 0.000385681943 0.0587038408 -0.0589291875 1.01455551 1.02363726 1.57817518 0.115137998 1.08846161 1.08826893 
8.750000 0.000409987564 0.058675287 -0.0590817195 1.01529017 1.02507343 1.614317 0.122080281 1.09380259 1.09371735 
8.800000 0.000435824906 0.0586449436 -0.0591023349 1.01606797 1.02659664 1.6526989 0.129445157 1.09946811 1.09945896 
8.850000 0.000463289316 0.0586126993 -0.0594416866 1.01689135 1.02820922 1.69346245 0.137258712 1.10547769 1.10614427 
8.900000 0.000492481877 0.0585784362 -0.0596293171 1.01776412 1.0299162 1.73674837 0.145547646 1.11185202 1.11272457 
